Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
"ARW","ARROW GLOBAL PLC","Equity","0.07","5.38","15,800.00","85,005.61","85,005.61","Financials","BDGTXM4","GB00BDGTXM47","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"HFD","HALFORDS GROUP PLC","Equity","0.07","4.47","18,974.00","84,761.27","84,761.27","Consumer Discretionary","B012TP2","GB00B012TP20","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"HTG","HUNTING PLC","Equity","0.07","6.44","13,108.00","84,423.17","84,423.17","Energy","0447889","GB0004478896","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"SIS","SOCIETA INIZIATIVE AUTOSTRADALI E","Equity","0.07","11.19","7,539.00","84,395.32","84,395.32","Industrials","7307425","IT0003201198","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"COFA","COFACE SA","Equity","0.07","9.56","8,821.00","84,309.43","84,309.43","Financials","BNFWV75","FR0010667147","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
"VEC","VECTURA GROUP PLC","Equity","0.07","1.47","57,431.00","84,255.01","84,255.01","Health Care","B01D1K4","GB00B01D1K48","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"EKT","EUSKALTEL SA","Equity","0.07","10.26","8,200.00","84,172.59","84,172.59","Telecommunications","BYR4L21","ES0105075008","Bolsa De Madrid","Spain","USD","EUR","0.88"
"LRD","LAIRD PLC","Equity","0.07","1.82","46,267.00","84,022.13","84,022.13","Information Technology","B1VNST9","GB00B1VNST91","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"SMP","ST. MODWEN PROPERTIES PLC","Equity","0.07","4.75","17,655.00","83,921.18","83,921.18","Real Estate","0729101","GB0007291015","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"NDX1","NORDEX","Equity","0.07","14.11","5,943.00","83,847.43","83,847.43","Industrials","B06CF71","DE000A0D6554","Xetra","Germany","USD","EUR","0.88"
"SCYR","SACYR SA","Equity","0.07","2.59","32,305.00","83,676.06","83,676.06","Industrials","5504789","ES0182870214","Bolsa De Madrid","Spain","USD","EUR","0.88"
"VZN","VZ HOLDING AG","Equity","0.07","311.02","269.00","83,665.30","83,665.30","Financials","B1TSL19","CH0028200837","Swiss Exchange","Switzerland","USD","CHF","0.96"
"FAE","FAES FARMA S.A.","Equity","0.07","3.23","25,917.00","83,653.77","83,653.77","Health Care","B1PQHS6","ES0134950F36","Bolsa De Madrid","Spain","USD","EUR","0.88"
"SKB","KOENIG & BAUER AG","Equity","0.07","67.29","1,240.00","83,442.64","83,442.64","Industrials","5558203","DE0007193500","Xetra","Germany","USD","EUR","0.88"
"IF","BANCA IFIS","Equity","0.07","40.71","2,042.00","83,122.12","83,122.12","Financials","7242087","IT0003188064","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"FII","LISI SA","Equity","0.07","45.62","1,813.00","82,712.69","82,712.69","Industrials","5489916","FR0000050353","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
"BAR","BARCO NV","Equity","0.07","96.64","855.00","82,626.18","82,626.18","Information Technology","4704096","BE0003790079","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.88"
"RHK","RHOEN KLINIKUM AG","Equity","0.07","29.03","2,846.00","82,610.83","82,610.83","Health Care","4717629","DE0007042301","Xetra","Germany","USD","EUR","0.88"
"CTT","CTT CORREIOS DE PORTUGAL SAINARY","Equity","0.07","6.33","13,051.00","82,568.86","82,568.86","Industrials","BGQYC45","PTCTT0AM0001","Nyse Euronext - Euronext Lisbon","Portugal","USD","EUR","0.88"
"TED","TED BAKER PLC","Equity","0.07","30.43","2,711.00","82,492.95","82,492.95","Consumer Discretionary","0104861","GB0001048619","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"REY","REPLY S.P.A.","Equity","0.07","188.99","436.00","82,399.26","82,399.26","Information Technology","4784311","IT0001499679","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"BCHN","BURCKHARDT COMPRESSION HOLDING AG","Equity","0.06","284.28","288.00","81,873.41","81,873.41","Industrials","B176416","CH0025536027","Swiss Exchange","Switzerland","USD","CHF","0.96"
"DLAR","DE LA RUE PLC","Equity","0.06","8.47","9,653.00","81,744.68","81,744.68","Industrials","B3DGH82","GB00B3DGH821","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"ALK B","ALK-ABELLO B","Equity","0.06","145.70","561.00","81,740.17","81,740.17","Health Care","B0VL7C2","DK0060027142","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.52"
"HOC","HOCHSCHILD MINING PLC","Equity","0.06","3.38","24,051.00","81,375.19","81,375.19","Materials","B1FW502","GB00B1FW5029","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"VALN","VALORA HOLDING AG","Equity","0.06","316.22","257.00","81,267.46","81,267.46","Consumer Discretionary","4581619","CH0002088976","Swiss Exchange","Switzerland","USD","CHF","0.96"
"GTT","GAZTRANSPORT & TECHNIGAZ SA","Equity","0.06","38.52","2,104.00","81,038.45","81,038.45","Energy","BJYRDP5","FR0011726835","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
"HUBN","HUBER & SUHNER AG","Equity","0.06","70.56","1,139.00","80,372.86","80,372.86","Industrials","7132832","CH0030380734","Swiss Exchange","Switzerland","USD","CHF","0.96"
"LRE","LAR ESPANA REAL ESTATE SA","Equity","0.06","8.88","8,969.00","79,678.30","79,678.30","Real Estate","BKJ95B3","ES0105015012","Bolsa De Madrid","Spain","USD","EUR","0.88"
"PHP","PRIMARY HEALTH PROPERTIES REIT PLC","Equity","0.06","1.46","54,261.00","79,393.64","79,393.64","Real Estate","BYRJ5J1","GB00BYRJ5J14","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"SIX3","SIXT PREF","Equity","0.06","49.04","1,615.00","79,196.28","79,196.28","Industrials","5271276","DE0007231334","Xetra","Germany","USD","EUR","0.88"
"ERG","ERG S.P.A.","Equity","0.06","13.90","5,688.00","79,082.00","79,082.00","Utilities","5337093","IT0001157020","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"COTN","COMET HOLDING AG","Equity","0.06","119.42","661.00","78,939.72","78,939.72","Information Technology","BD376K0","CH0360826991","Swiss Exchange","Switzerland","USD","CHF","0.96"
"AGFB","AGFA-GEVAERT N.V.","Equity","0.06","4.85","16,256.00","78,853.94","78,853.94","Health Care","5689051","BE0003755692","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.88"
"RTN","RESTAURANT GROUP PLC","Equity","0.06","4.13","19,099.00","78,790.86","78,790.86","Consumer Discretionary","B0YG1K0","GB00B0YG1K06","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"SCPA","SCAPA GROUP PLC","Equity","0.06","6.02","12,998.00","78,261.64","78,261.64","Materials","0728119","GB0007281198","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"IBAB","ION BEAM APPLICATIONS SA","Equity","0.06","39.49","1,963.00","77,521.90","77,521.90","Health Care","5705496","BE0003766806","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.88"
"ACCEL","ACCELL GROUP N.V.","Equity","0.06","33.34","2,324.00","77,478.15","77,478.15","Consumer Discretionary","B051DV9","NL0009767532","Nyse Euronext - Euronext Amsterdam","Netherlands","USD","EUR","0.88"
"CAF","CONSTRUCCIONES Y AUXILIAR DE FERRO","Equity","0.06","40.80","1,894.00","77,270.41","77,270.41","Industrials","BYX98X0","ES0121975009","Bolsa De Madrid","Spain","USD","EUR","0.88"
"FCC","FOMENTO DE CONSTRUCCIONES Y CONTRA","Equity","0.06","10.69","7,224.00","77,194.31","77,194.31","Industrials","5787115","ES0122060314","Bolsa De Madrid","Spain","USD","EUR","0.88"
"INWI","INWIDO","Equity","0.06","13.82","5,538.00","76,519.32","76,519.32","Industrials","BQY78Q0","SE0006220018","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"KLR","KELLER GROUP PLC","Equity","0.06","11.28","6,785.00","76,522.20","76,522.20","Industrials","0486622","GB0004866223","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"IFCN","INFICON HOLDING AG","Equity","0.06","483.93","157.00","75,976.95","75,976.95","Information Technology","4681724","CH0011029946","Swiss Exchange","Switzerland","USD","CHF","0.96"
"RWI","RENEWI PLC","Equity","0.06","1.06","71,972.00","75,952.25","75,952.25","Industrials","0799524","GB0007995243","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"TTK","TAKKT AG","Equity","0.06","24.68","3,072.00","75,821.57","75,821.57","Consumer Discretionary","5769470","DE0007446007","Xetra","Germany","USD","EUR","0.88"
"HSTG","HASTINGS GROUP HOLDINGS PLC","Equity","0.06","4.06","18,647.00","75,670.64","75,670.64","Financials","BYRJH51","GB00BYRJH519","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"KIN","KINEPOLIS NV","Equity","0.06","53.49","1,413.00","75,583.91","75,583.91","Consumer Discretionary","BN3ZYS8","BE0974274061","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.88"
"BME","BOLSAS & MERCADOS ESPANOLES SA","Equity","0.06","36.37","2,076.00","75,508.56","75,508.56","Financials","B18S767","ES0115056139","Bolsa De Madrid","Spain","USD","EUR","0.88"
"BOBNN","BOBST SA","Equity","0.06","97.41","775.00","75,491.98","75,491.98","Industrials","7222755","CH0012684657","Swiss Exchange","Switzerland","USD","CHF","0.96"
"BC","BRUNELLO CUCINELLI","Equity","0.06","25.78","2,924.00","75,370.28","75,370.28","Consumer Discretionary","B7K6D18","IT0004764699","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"AIXA","AIXTRON","Equity","0.06","7.45","10,108.00","75,293.81","75,293.81","Information Technology","5468346","DE000A0WMPJ6","Xetra","Germany","USD","EUR","0.88"
"KCO","KLOECKNER & CO","Equity","0.06","10.75","7,001.00","75,234.58","75,234.58","Industrials","B170DQ6","DE000KC01000","Xetra","Germany","USD","EUR","0.88"
"SFQ","SAF-HOLLAND SA","Equity","0.06","17.52","4,280.00","75,005.08","75,005.08","Consumer Discretionary","B2352K9","LU0307018795","Xetra","Germany","USD","EUR","0.88"
"DRW3","DRAEGERWERK PREF AG","Equity","0.06","102.99","727.00","74,874.94","74,874.94","Health Care","5169218","DE0005550636","Xetra","Germany","USD","EUR","0.88"
"ACE","ACEA S.P.A.","Equity","0.06","14.84","5,041.00","74,801.16","74,801.16","Utilities","5728125","IT0001207098","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"VITR","VITROLIFE","Equity","0.06","60.71","1,226.00","74,433.62","74,433.62","Health Care","7150180","SE0000816043","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"SBO","SCHOELLER-BLECKMANN OILFIELD EQUIP","Equity","0.06","68.72","1,082.00","74,353.02","74,353.02","Energy","7571305","AT0000946652","Wiener Boerse Ag","Austria","USD","EUR","0.88"
"HAB","HAMBORNER AG REIT AG","Equity","0.06","10.18","7,276.00","74,065.38","74,065.38","Real Estate","5735642","DE0006013006","Xetra","Germany","USD","EUR","0.88"
"EIG","EI GROUP PLC","Equity","0.06","1.63","45,234.00","73,946.20","73,946.20","Consumer Discretionary","B1L8B62","GB00B1L8B624","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"NVG","THE NAVIGATOR COMPANY SA","Equity","0.06","4.28","17,258.00","73,892.28","73,892.28","Materials","7018556","PTPTI0AM0006","Nyse Euronext - Euronext Lisbon","Portugal","USD","EUR","0.88"
"DNLM","DUNELM GROUP PLC","Equity","0.06","7.73","9,543.00","73,769.82","73,769.82","Consumer Discretionary","B1CKQ73","GB00B1CKQ739","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"PHM","PHARMA MAR SA","Equity","0.06","4.29","17,158.00","73,679.38","73,679.38","Health Care","BYV0MC2","ES0169501030","Bolsa De Madrid","Spain","USD","EUR","0.88"
"AKER","AKER ASA","Equity","0.06","34.34","2,144.00","73,625.85","73,625.85","Financials","B02R4D9","NO0010234552","Oslo Bors Asa","Norway","USD","NOK","8.36"
"AMG","AMG ADVANCED METALLURGICAL GROUP N","Equity","0.06","29.53","2,493.00","73,615.40","73,615.40","Materials","B1Z95S1","NL0000888691","Nyse Euronext - Euronext Amsterdam","Netherlands","USD","EUR","0.88"
"BILI A","BILIA A","Equity","0.06","9.50","7,752.00","73,624.11","73,624.11","Consumer Discretionary","BDVLJ38","SE0009921588","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"MARR","MARR S.P.A.","Equity","0.06","23.51","3,121.00","73,364.52","73,364.52","Consumer Staples","B0B87F6","IT0003428445","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"FLOW","FLOW TRADERS NV","Equity","0.06","27.54","2,652.00","73,047.44","73,047.44","Financials","BYT05J2","NL0011279492","Nyse Euronext - Euronext Amsterdam","Netherlands","USD","EUR","0.88"
"VASTN","VASTNED RETAIL REIT NV","Equity","0.06","41.34","1,752.00","72,436.33","72,436.33","Real Estate","4927194","NL0000288918","Nyse Euronext - Euronext Amsterdam","Netherlands","USD","EUR","0.88"
"P1Z","PATRIZIA IMMOBILIEN AG","Equity","0.06","18.36","3,933.00","72,198.68","72,198.68","Real Estate","B11Y3K8","DE000PAT1AG3","Xetra","Germany","USD","EUR","0.88"
"FXPO","FERREXPO PLC","Equity","0.06","2.62","27,511.00","72,171.42","72,171.42","Materials","B1XH2C0","GB00B1XH2C03","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"RMR1V","RAMIRENT OYJ","Equity","0.06","10.03","7,189.00","72,072.85","72,072.85","Industrials","5457173","FI0009007066","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.88"
"DEZ","DEUTZ AG","Equity","0.06","8.43","8,536.00","71,966.55","71,966.55","Industrials","4557847","DE0006305006","Xetra","Germany","USD","EUR","0.88"
"NAS","NORWEGIAN AIR SHUTTLE","Equity","0.06","26.77","2,687.00","71,921.26","71,921.26","Industrials","7742123","NO0010196140","Oslo Bors Asa","Norway","USD","NOK","8.36"
"AUSS","AUSTEVOLL SEAFOOD ASA","Equity","0.06","8.35","8,572.00","71,540.17","71,540.17","Consumer Staples","B16MKT5","NO0010073489","Oslo Bors Asa","Norway","USD","NOK","8.36"
"OPHR","OPHIR ENERGY PLC","Equity","0.06","1.07","66,523.00","71,493.96","71,493.96","Energy","B24CT19","GB00B24CT194","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"DTG","DART GROUP PLC","Equity","0.06","7.91","9,013.00","71,306.65","71,306.65","Industrials","B1722W1","GB00B1722W11","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"NTG","NORTHGATE PLC","Equity","0.06","5.64","12,620.00","71,230.45","71,230.45","Industrials","B41H739","GB00B41H7391","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"YPSN","YPSOMED HOLDING AG","Equity","0.06","199.91","356.00","71,166.73","71,166.73","Health Care","B02SWN8","CH0019396990","Swiss Exchange","Switzerland","USD","CHF","0.96"
"AT","ASTM S.P.A","Equity","0.06","16.90","4,197.00","70,941.69","70,941.69","Industrials","4063980","IT0000084027","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"SGL","SGL CARBON","Equity","0.06","12.30","5,768.00","70,918.30","70,918.30","Industrials","4818351","DE0007235301","Xetra","Germany","USD","EUR","0.88"
"RPS","RPS GROUP PLC","Equity","0.06","3.35","21,125.00","70,846.10","70,846.10","Industrials","0759476","GB0007594764","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"RENE","REN SA","Equity","0.06","3.07","23,064.00","70,762.19","70,762.19","Utilities","B233HR5","PTREL0AM0008","Nyse Euronext - Euronext Lisbon","Portugal","USD","EUR","0.88"
"VED","VEDANTA RESOURCES PLC","Equity","0.06","9.23","7,660.00","70,669.68","70,669.68","Materials","3327706","GB0033277061","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"ALD","ALDERMORE GROUP PLC","Equity","0.06","2.88","24,410.00","70,389.43","70,389.43","Financials","BQQMCJ4","GB00BQQMCJ47","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"PETS","PETS AT HOME PLC","Equity","0.06","2.13","33,027.00","70,348.44","70,348.44","Consumer Discretionary","BJ62K68","GB00BJ62K685","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"SKBN","SKANDIABANKEN","Equity","0.06","9.96","7,041.00","70,136.20","70,136.20","Financials","BYNZ5N7","NO0010739402","Oslo Bors Asa","Norway","USD","NOK","8.36"
"NOLA B","NOLATO B","Equity","0.06","36.16","1,937.00","70,032.90","70,032.90","Industrials","4589710","SE0000109811","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"KWS","KWS SAAT","Equity","0.06","378.26","185.00","69,978.73","69,978.73","Consumer Staples","4495044","DE0007074007","Xetra","Germany","USD","EUR","0.88"
"ESP","EMPIRIC STUDENT PROPERTY PLC","Equity","0.06","1.45","48,341.00","69,949.18","69,949.18","Real Estate","BLWDVR7","GB00BLWDVR75","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"AUTN","AUTONEUM HOLDING AG","Equity","0.06","266.89","260.00","69,390.93","69,390.93","Consumer Discretionary","B4YCYX0","CH0127480363","Swiss Exchange","Switzerland","USD","CHF","0.96"
"HDD","HEIDELBERGER DRUCKMASCHINEN AG","Equity","0.05","3.02","22,927.00","69,322.03","69,322.03","Industrials","5367227","DE0007314007","Xetra","Germany","USD","EUR","0.88"
"TKWY","TAKEAWAY.COM NV","Equity","0.05","42.45","1,628.00","69,110.67","69,110.67","Information Technology","BYQ7HZ6","NL0012015705","Nyse Euronext - Euronext Amsterdam","Netherlands","USD","EUR","0.88"
"LIAB","LINDAB INTERNATIONAL AB","Equity","0.05","10.80","6,372.00","68,812.91","68,812.91","Industrials","B1HP071","SE0001852419","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"BIFF","BIFFA PLC","Equity","0.05","2.91","23,565.00","68,654.57","68,654.57","Industrials","BD8DR11","GB00BD8DR117","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"BKW","BKW AG","Equity","0.05","56.39","1,217.00","68,625.68","68,625.68","Utilities","B76D410","CH0130293662","Swiss Exchange","Switzerland","USD","CHF","0.96"
"PDL","PETRA DIAMONDS LTD","Equity","0.05","1.36","50,188.00","68,495.17","68,495.17","Materials","0683564","BMG702781094","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"O1BC","XING N AG","Equity","0.05","260.10","263.00","68,406.94","68,406.94","Information Technology","B1JTY91","DE000XNG8888","Xetra","Germany","USD","EUR","0.88"
"GRNG","GRANGES","Equity","0.05","9.47","7,222.00","68,376.80","68,376.80","Materials","BRJ3BP0","SE0006288015","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"HLAG","HAPAG LLOYD AG","Equity","0.05","30.91","2,211.00","68,339.59","68,339.59","Industrials","BYZTSW7","DE000HLAG475","Xetra","Germany","USD","EUR","0.88"
"OXIG","OXFORD INSTRUMENTS PLC","Equity","0.05","13.13","5,164.00","67,802.18","67,802.18","Information Technology","0665045","GB0006650450","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"CSN","CHESNARA PLC","Equity","0.05","4.96","13,623.00","67,516.11","67,516.11","Financials","B00FPT8","GB00B00FPT80","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"DANR","DANIELI & C RNC","Equity","0.05","18.02","3,741.00","67,415.40","67,415.40","Industrials","4253372","IT0000076486","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"OSB","ONESAVINGS BANK PLC","Equity","0.05","4.84","13,793.00","66,724.46","66,724.46","Financials","BM7S7K9","GB00BM7S7K96","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"RIEN","RIETER HOLDING AG","Equity","0.05","236.67","281.00","66,503.87","66,503.87","Industrials","5996159","CH0003671440","Swiss Exchange","Switzerland","USD","CHF","0.96"
"ASCN","ASCOM HOLDING AG","Equity","0.05","20.30","3,271.00","66,408.48","66,408.48","Information Technology","4697378","CH0011339204","Swiss Exchange","Switzerland","USD","CHF","0.96"
"SIX2","SIXT","Equity","0.05","59.65","1,106.00","65,973.75","65,973.75","Industrials","5260768","DE0007231326","Xetra","Germany","USD","EUR","0.88"
"FENR","FENNER PLC","Equity","0.05","3.77","17,467.00","65,872.43","65,872.43","Industrials","0334505","GB0003345054","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"CLAS B","CLAS OHLSON","Equity","0.05","19.17","3,431.00","65,780.48","65,780.48","Consumer Discretionary","B033YF8","SE0000584948","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"CAV1V","CAVERION","Equity","0.05","7.90","8,285.00","65,484.74","65,484.74","Industrials","BBP6J80","FI4000062781","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.88"
"WIN","DIEBOLD NIXDORF AG","Equity","0.05","82.38","794.00","65,411.25","65,411.25","Information Technology","B012VF6","DE000A0CAYB2","Xetra","Germany","USD","EUR","0.88"
"AMS","ADVANCED MEDICAL SOLUTIONS GROUP P","Equity","0.05","3.62","18,042.00","65,295.91","65,295.91","Health Care","0453659","GB0004536594","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"EPR","EUROPRIS","Equity","0.05","4.30","15,195.00","65,270.77","65,270.77","Consumer Discretionary","BZ07696","NO0010735343","Oslo Bors Asa","Norway","USD","NOK","8.36"
"RDI","REDEFINE INTERNATIONAL REIT PLC","Equity","0.05","0.50","130,168.00","65,278.65","65,278.65","Real Estate","B8BV8G9","IM00B8BV8G91","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"CE","CREDITO EMILIANO","Equity","0.05","8.24","7,908.00","65,165.67","65,165.67","Financials","7135251","IT0003121677","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"AKSO","AKER SOLUTIONS","Equity","0.05","4.64","14,036.00","65,061.88","65,061.88","Energy","BQN1C50","NO0010716582","Oslo Bors Asa","Norway","USD","NOK","8.36"
"HOFI","HOIST FINANCE","Equity","0.05","9.88","6,583.00","65,053.64","65,053.64","Financials","BVFZND0","SE0006887063","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"WAC","WACKER NEUSON N","Equity","0.05","24.81","2,617.00","64,919.82","64,919.82","Industrials","B17R248","DE000WACK012","Xetra","Germany","USD","EUR","0.88"
"OBEL","ORANGE BELGIUM SA","Equity","0.05","22.93","2,815.00","64,534.03","64,534.03","Telecommunications","5541979","BE0003735496","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.88"
"KARN","KARDEX AG","Equity","0.05","108.52","594.00","64,461.29","64,461.29","Industrials","B00ZC75","CH0100837282","Swiss Exchange","Switzerland","USD","CHF","0.96"
"ABLX","ABLYNX NV","Equity","0.05","12.46","5,157.00","64,258.84","64,258.84","Health Care","B28W603","BE0003877942","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.88"
"SAA1V","SANOMA","Equity","0.05","9.31","6,899.00","64,247.56","64,247.56","Consumer Discretionary","5964640","FI0009007694","Nasdaq Omx Helsinki Ltd.","Finland","USD","EUR","0.88"
"NSI","NIEUWE STEEN INVESTMENTS NV","Equity","0.05","36.50","1,755.00","64,053.29","64,053.29","Real Estate","BZBY737","NL0012365084","Nyse Euronext - Euronext Amsterdam","Netherlands","USD","EUR","0.88"
"CHG","CHEMRING GROUP PLC","Equity","0.05","2.41","26,487.00","63,963.33","63,963.33","Industrials","B45C9X4","GB00B45C9X44","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"SPI","S IMMO AG","Equity","0.05","14.03","4,509.00","63,255.70","63,255.70","Real Estate","7390801","AT0000652250","Wiener Boerse Ag","Austria","USD","EUR","0.88"
"LOCAL","SOLOCAL GROUP SA","Equity","0.05","1.22","51,728.00","63,069.26","63,069.26","Consumer Discretionary","BYTBRM2","FR0012938884","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
"CVR","CONVIVIALITY PLC","Equity","0.05","4.06","15,535.00","63,062.08","63,062.08","Consumer Staples","BC7H5F7","GB00BC7H5F74","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"DEB","DEBENHAMS PLC","Equity","0.05","0.57","110,824.00","62,781.45","62,781.45","Consumer Discretionary","B126KH9","GB00B126KH97","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"SON","SONAE SGPS S/A","Equity","0.05","1.10","57,197.00","62,757.07","62,757.07","Consumer Staples","5973992","PTSON0AM0001","Nyse Euronext - Euronext Lisbon","Portugal","USD","EUR","0.88"
"VOS","VOSSLOH AG","Equity","0.05","64.38","974.00","62,710.06","62,710.06","Industrials","5092336","DE0007667107","Xetra","Germany","USD","EUR","0.88"
"FFP","FFP SA","Equity","0.05","100.92","619.00","62,466.92","62,466.92","Financials","4344072","FR0000064784","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
"MNZS","MENZIES JOHN PLC","Equity","0.05","8.74","7,122.00","62,247.97","62,247.97","Consumer Discretionary","0579005","GB0005790059","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"VIRP","VIRBAC S.A.","Equity","0.05","155.86","398.00","62,030.75","62,030.75","Health Care","7399369","FR0000031577","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
"BNS","BENI STABILI REIT","Equity","0.05","0.72","85,545.00","61,858.33","61,858.33","Real Estate","5808135","IT0001389631","Borsa Italiana S.P.A.","Italy","USD","EUR","0.88"
"MBTN","MEYER BURGER TECHNOLOGY AG","Equity","0.05","1.24","49,709.00","61,429.68","61,429.68","Information Technology","B5NC0D0","CH0108503795","Swiss Exchange","Switzerland","USD","CHF","0.96"
"NONG","SPAREBANK NORD-NORGE","Equity","0.05","6.70","9,084.00","60,867.96","60,867.96","Financials","B06T259","NO0006000801","Oslo Bors Asa","Norway","USD","NOK","8.36"
"BOI","BOIRON S.A.","Equity","0.05","96.38","631.00","60,813.56","60,813.56","Health Care","7622043","FR0000061129","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
"KUD","KUDELSKI SA","Equity","0.05","17.13","3,545.00","60,743.03","60,743.03","Information Technology","7121250","CH0012268360","Swiss Exchange","Switzerland","USD","CHF","0.96"
"BELL","BELL FOOD GROUP AG","Equity","0.05","466.54","129.00","60,183.03","60,183.03","Consumer Staples","BD6T1P3","CH0315966322","Swiss Exchange","Switzerland","USD","CHF","0.96"
"EMIS","EMIS GROUP PLC","Equity","0.05","11.64","5,161.00","60,077.66","60,077.66","Health Care","B61D1Y0","GB00B61D1Y04","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"KLOV B","KLOVERN","Equity","0.05","1.07","55,758.00","59,917.59","59,917.59","Real Estate","BTJR9M9","SE0006593919","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"APGN","APG SGA SA","Equity","0.05","474.84","126.00","59,830.21","59,830.21","Consumer Discretionary","B01Z4C3","CH0019107025","Swiss Exchange","Switzerland","USD","CHF","0.96"
"COST","COSTAIN GROUP PLC","Equity","0.05","6.04","9,881.00","59,685.94","59,685.94","Industrials","B64NSP7","GB00B64NSP76","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"BEN","BENETEAU SA","Equity","0.05","16.88","3,532.00","59,620.65","59,620.65","Consumer Discretionary","7309283","FR0000035164","Nyse Euronext - Euronext Paris","France","USD","EUR","0.88"
"RECI B","RECIPHARM PUBL","Equity","0.05","14.11","4,216.00","59,500.45","59,500.45","Health Care","BL95N58","SE0005757267","Nasdaq Omx Nordic","Sweden","USD","SEK","8.45"
"ALSN","ALSO HOLDING AG","Equity","0.05","123.58","481.00","59,441.30","59,441.30","Information Technology","B11TD81","CH0024590272","Swiss Exchange","Switzerland","USD","CHF","0.96"
